##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	11_2H_both_S9_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	17919193
Sequences flagged as poor quality	0
Sequence length	101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.474809775194675	32.0	32.0	32.0	32.0	32.0
2	31.657513315471295	32.0	32.0	32.0	32.0	32.0
3	34.961260308988244	37.0	32.0	37.0	32.0	37.0
4	35.93746554323066	37.0	37.0	37.0	32.0	37.0
5	36.08348272157122	37.0	37.0	37.0	37.0	37.0
6	39.66325726833792	41.0	41.0	41.0	37.0	41.0
7	39.56921313364949	41.0	41.0	41.0	37.0	41.0
8	39.767476470620075	41.0	41.0	41.0	37.0	41.0
9	40.05175567895273	41.0	41.0	41.0	37.0	41.0
10-11	40.14065680859623	41.0	41.0	41.0	37.0	41.0
12-13	40.1624136756605	41.0	41.0	41.0	37.0	41.0
14-15	40.14588614565399	41.0	41.0	41.0	37.0	41.0
16-17	40.098424912327246	41.0	41.0	41.0	37.0	41.0
18-19	40.085012812797984	41.0	41.0	41.0	37.0	41.0
20-21	40.07570246048469	41.0	41.0	41.0	37.0	41.0
22-23	40.084074126552466	41.0	41.0	41.0	37.0	41.0
24-25	40.07450064855041	41.0	41.0	41.0	37.0	41.0
26-27	40.01153969377974	41.0	41.0	41.0	37.0	41.0
28-29	39.981917935701674	41.0	41.0	41.0	37.0	41.0
30-31	39.95559892122374	41.0	41.0	41.0	37.0	41.0
32-33	39.96373846188274	41.0	41.0	41.0	37.0	41.0
34-35	40.006789507764104	41.0	41.0	41.0	37.0	41.0
36-37	40.0011073322331	41.0	41.0	41.0	37.0	41.0
38-39	39.98595734752117	41.0	41.0	41.0	37.0	41.0
40-41	39.982394547566955	41.0	41.0	41.0	37.0	41.0
42-43	39.96209547494689	41.0	41.0	41.0	37.0	41.0
44-45	39.9146152117453	41.0	41.0	41.0	37.0	41.0
46-47	39.91736488914428	41.0	41.0	41.0	37.0	41.0
48-49	39.91900229547168	41.0	41.0	41.0	37.0	41.0
50-51	39.911142092168994	41.0	41.0	41.0	37.0	41.0
52-53	39.867036813544004	41.0	41.0	41.0	37.0	41.0
54-55	39.86714825829489	41.0	41.0	41.0	37.0	41.0
56-57	39.845888986183695	41.0	41.0	41.0	37.0	41.0
58-59	39.833613433372804	41.0	41.0	41.0	37.0	41.0
60-61	39.81399184661943	41.0	41.0	41.0	37.0	41.0
62-63	39.778094164173574	41.0	41.0	41.0	37.0	41.0
64-65	39.766084332034374	41.0	41.0	41.0	37.0	41.0
66-67	39.7439728452057	41.0	41.0	41.0	37.0	41.0
68-69	39.72800069735283	41.0	41.0	41.0	37.0	41.0
70-71	39.64309425095203	41.0	41.0	41.0	37.0	41.0
72-73	39.647184781145	41.0	41.0	41.0	37.0	41.0
74-75	39.6165289084168	41.0	41.0	41.0	37.0	41.0
76-77	39.25237983652501	41.0	41.0	41.0	34.5	41.0
78-79	39.34594523871695	41.0	41.0	41.0	37.0	41.0
80-81	39.485518990726874	41.0	41.0	41.0	37.0	41.0
82-83	39.52608887018517	41.0	41.0	41.0	37.0	41.0
84-85	39.493942668065465	41.0	41.0	41.0	37.0	41.0
86-87	39.4617236390054	41.0	41.0	41.0	37.0	41.0
88-89	39.31651659759454	41.0	41.0	41.0	37.0	41.0
90-91	39.3349074369588	41.0	41.0	41.0	37.0	41.0
92-93	39.271648198666085	41.0	41.0	41.0	37.0	41.0
94-95	39.19059937576429	41.0	41.0	41.0	37.0	41.0
96-97	39.17181147610833	41.0	41.0	41.0	37.0	41.0
98-99	38.97303662056656	41.0	41.0	41.0	32.0	41.0
100-101	38.519468426954276	41.0	39.0	41.0	34.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.12489182002055443
1101	2	-0.06351994123890847
1101	3	-0.5003821475408259
1101	4	-0.15032508266237699
1101	5	0.06494663301249659
1101	6	-0.11306734644870886
1101	7	-0.14787376331990032
1101	8	-0.053247717682154416
1101	9	0.028112034483910975
1101	10-11	0.055012353216142174
1101	12-13	0.03999550468698487
1101	14-15	0.018541717557639004
1101	16-17	0.015623200807297621
1101	18-19	0.006284212879386075
1101	20-21	0.03231633253195554
1101	22-23	0.04533449778153198
1101	24-25	0.06792585155637454
1101	26-27	0.0368050097617072
1101	28-29	0.046182914031902556
1101	30-31	0.044013255843047716
1101	32-33	0.04128443217275901
1101	34-35	0.0036815844429867184
1101	36-37	0.009055432172097255
1101	38-39	0.024651665347811047
1101	40-41	0.030326561860420043
1101	42-43	0.010482378147685267
1101	44-45	0.06615890904602395
1101	46-47	0.03490207762713737
1101	48-49	0.015461733103961706
1101	50-51	0.05904645968677613
1101	52-53	0.07397443119873515
1101	54-55	0.07559688739525683
1101	56-57	0.003214324338742358
1101	58-59	0.04366241068674981
1101	60-61	0.06251393306551023
1101	62-63	0.12288097429725298
1101	64-65	0.07262790356669768
1101	66-67	0.05454117255215607
1101	68-69	0.02908663949768453
1101	70-71	0.12354413992355262
1101	72-73	0.10661247026287413
1101	74-75	0.038791565395577265
1101	76-77	0.11972594242463686
1101	78-79	0.2034261929038692
1101	80-81	0.23203682446300178
1101	82-83	0.1303461190056865
1101	84-85	0.1700009280660666
1101	86-87	0.14355074579844995
1101	88-89	0.2673904204300541
1101	90-91	0.2836512135862108
1101	92-93	0.3126226289590761
1101	94-95	0.343027237753887
1101	96-97	0.24609873408543592
1101	98-99	0.46715456484731277
1101	100-101	0.31804163731750634
1102	1	-0.14774807131045264
1102	2	-0.05636936663612602
1102	3	-0.36551613833058383
1102	4	-0.04429590085077706
1102	5	0.11699456694366717
1102	6	0.02079540952902903
1102	7	-0.17300223173531037
1102	8	-0.011334565383073425
1102	9	0.031887616997046564
1102	10-11	0.044626652031837466
1102	12-13	0.07458394446517502
1102	14-15	0.03871973319166955
1102	16-17	0.09278035945258267
1102	18-19	0.09244580495511201
1102	20-21	0.11858372633056291
1102	22-23	0.0947573528699337
1102	24-25	0.07996401334981584
1102	26-27	0.10200312948094137
1102	28-29	0.06678691628906819
1102	30-31	0.1091996404202078
1102	32-33	0.0794802333756337
1102	34-35	0.04789942592325502
1102	36-37	0.017511568857479176
1102	38-39	0.06760025317849028
1102	40-41	0.028018938410781402
1102	42-43	0.046489831305443374
1102	44-45	0.0762151318702351
1102	46-47	0.07470591395808412
1102	48-49	0.0729403392155632
1102	50-51	0.07117949358435283
1102	52-53	0.145350654097129
1102	54-55	0.07557290907121939
1102	56-57	0.0751981977229974
1102	58-59	0.09243729082989915
1102	60-61	0.05216773150016962
1102	62-63	0.09430133678352348
1102	64-65	0.06840261109218915
1102	66-67	0.08637704058603646
1102	68-69	0.08933688720093613
1102	70-71	0.12958560161962396
1102	72-73	0.16355415547331376
1102	74-75	0.14671194020616696
1102	76-77	0.15316872905785317
1102	78-79	0.15914422056241762
1102	80-81	0.18169774356937296
1102	82-83	0.1985375904723483
1102	84-85	0.2017236113790304
1102	86-87	0.20475979034578273
1102	88-89	0.3424979973950073
1102	90-91	0.35676432443850814
1102	92-93	0.3853025672246915
1102	94-95	0.42393656271605806
1102	96-97	0.36292448227366947
1102	98-99	0.5644222857231611
1102	100-101	0.44919465723413765
1103	1	-0.11739127037896324
1103	2	-0.04953322327921228
1103	3	-0.33572527409069153
1103	4	-0.051744388440958744
1103	5	0.1312600060769782
1103	6	0.041944749738775045
1103	7	-0.019927642216771346
1103	8	-0.054060712111116516
1103	9	-0.029076122672805127
1103	10-11	0.054564205997479576
1103	12-13	0.07339317053751415
1103	14-15	0.05099571226080002
1103	16-17	0.09336894441326393
1103	18-19	0.11050860387194916
1103	20-21	0.10963446011982825
