    190 35
    210 80
    214 74
    215 83
    215 90
    217 81
    220 84
    221 76
    223 88
    224 86
    225 70
    227 52
    228 54
    229 65
    229 87
    233 36
    235 66
    237 58
    237 79
    237 82
    238 85
    243 51
    246 59
    248 91
    249 71
    251 61
    251 64
    251 92
    252 77
    252 78
    253 53
    253 68
    255 55
    255 75
    256 57
    257 50
    257 93
    258 37
    258 67
    264 73
    265 89
    265 94
    269 56
    270 45
    276 49
    276 62
    281 60
    283 48
    284 69
    291 63
    293 47
    293 95
    295 72
    301 39
    313 40
    313 43
    314 44
    323 42
    324 46
    325 38
    328 41
    422 96
   1018 97
   2132 99
   3354 98
  13742 100
 145934 101
