   1216 35
   1288 36
   1314 39
   1334 38
   1362 42
   1370 40
   1409 37
   1461 41
   1499 44
   1531 43
   1564 45
   1573 46
   1648 47
   1741 48
   1743 49
   1818 50
   1934 52
   1950 51
   2070 53
   2193 54
   2228 55
   2313 56
   2421 57
   2504 58
   2608 59
   2832 60
   2943 61
   3368 62
   3500 63
   3640 64
   3788 65
   4195 66
   4622 67
   5014 68
   5444 69
   5871 70
   6536 71
   7316 72
   8003 73
   8320 74
   8819 75
   9593 76
  10614 77
  11206 78
  12583 79
  13180 80
  13956 81
  15128 82
  16263 83
  17702 84
  19009 85
  20791 86
  21703 87
  23634 88
  25421 89
  27496 90
  29362 91
  31100 92
  32909 93
  35209 94
  38689 95
  53895 96
  54719 99
 108801 97
 349933 98
 464290 100
15880124 101
