    494 35
    555 36
    561 37
    568 38
    605 39
    705 40
    708 41
    720 42
    732 43
    737 45
    742 44
    798 47
    801 46
    875 48
    945 49
    970 50
   1045 51
   1081 53
   1091 52
   1129 54
   1206 55
   1260 56
   1324 57
   1415 58
   1504 59
   1631 60
   1665 61
   1856 62
   1885 63
   2001 64
   2113 65
   2211 66
   2391 67
   2597 68
   2645 69
   2761 70
   2961 71
   3025 72
   3474 73
   3587 75
   3626 74
   3982 76
   4235 77
   4277 78
   4456 79
   4624 80
   4786 81
   4980 82
   5148 83
   5518 84
   5711 85
   6013 86
   6076 87
   6372 88
   6737 89
   6996 90
   7277 91
   7518 92
   7797 93
   8000 94
   8601 95
  12237 96
  12535 99
  25171 97
  83254 98
 109957 100
3821394 101
