##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	11_2H_both_S9_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	17919193
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1103	12-13	-0.20210938314838245
1103	14-15	-0.186314545075696
1103	16-17	-0.15352081074378532
1103	18-19	-0.13691834449860352
1103	20-21	-0.15771816272644656
1103	22-23	-0.16160347509818251
1103	24-25	-0.10763308956182982
1103	26-27	-0.13346951436894017
1103	28-29	-0.1606372650291874
1103	30-31	-0.2114632213950003
1103	32-33	-0.13814003980142076
1103	34-35	-0.20586132713550143
1103	36-37	-0.24507481508855022
1103	38-39	-0.43815963878098785
1103	40-41	-0.36934161147065225
1103	42-43	-0.28934046966400473
1103	44-45	-0.1780148907197514
1103	46-47	-0.1165439535952828
1103	48-49	-0.13132043608911204
1103	50-51	-0.15445674693757638
1103	52-53	-0.14045589144523518
1103	54-55	-0.0699789316860091
1103	56-57	-0.15705081741293725
1103	58-59	-0.1566358484613417
1103	60-61	-0.05732598938858047
1103	62-63	-0.13797593039051037
1103	64-65	-0.11734261659957212
1103	66-67	-0.07229060933589437
1103	68-69	-0.087340734196232
1103	70-71	-0.20367055227684006
1103	72-73	-0.15855392667522494
1103	74-75	-0.23974470094728417
1103	76-77	-0.21041251687959317
1103	78-79	-0.01273894620636895
1103	80-81	-0.1207347563904051
1103	82-83	-0.14682270705039713
1103	84-85	-0.1386220086129839
1103	86-87	-0.17935293698901233
1103	88-89	-0.309110248550283
1103	90-91	-0.3566342846346515
1103	92-93	-0.2510957790597388
1103	94-95	-0.24775680833487712
1103	96-97	-0.2805481283734039
1103	98-99	-0.28637696541047575
1103	100-101	-0.405661538531632
1104	1	-0.4518928418600616
1104	2	-0.5311814767229812
1104	3	-1.2113139204847485
1104	4	-1.098460561053173
1104	5	-0.8458479512500929
1104	6	-1.2387666061065659
1104	7	-1.1103197418980741
1104	8	-1.1608684292018907
1104	9	-0.9099402366102964
1104	10-11	-0.5737144242535166
1104	12-13	-0.2144229860426421
1104	14-15	-0.1732269071382717
1104	16-17	-0.17885100692272005
1104	18-19	-0.17370355867497267
1104	20-21	-0.180659756536798
1104	22-23	-0.1554073113079255
1104	24-25	-0.01596345687870837
1104	26-27	-0.10982759569375844
1104	28-29	-0.15647887334609578
1104	30-31	-0.10842791503988991
1104	32-33	0.014835198809343808
1104	34-35	-0.12854967439842113
1104	36-37	-0.18235189458849277
1104	38-39	-0.26142699340133646
1104	40-41	-0.2925873295894732
1104	42-43	-0.22478283953605427
1104	44-45	-0.09128237886729806
1104	46-47	-0.05453536113751056
1104	48-49	0.011940382376863568
1104	50-51	-0.016977451518478404
1104	52-53	-0.10365723383248593
1104	54-55	0.10800763019707915
1104	56-57	-0.1405815501257024
1104	58-59	-0.08111519536503664
1104	60-61	-0.02479565274473572
1104	62-63	-0.10785165424621113
1104	64-65	-0.11013564922376418
1104	66-67	-0.015140540411884729
1104	68-69	-0.04769624296652353
1104	70-71	-0.09076598788604429
1104	72-73	-0.02867067271941437
1104	74-75	-0.024480761936430895
1104	76-77	-0.09864852914616762
1104	78-79	0.0540347432101953
1104	80-81	-0.11523569412848644
1104	82-83	-0.12421977009827145
1104	84-85	-0.07489622319985045
1104	86-87	-0.06787583199499636
1104	88-89	-0.1474866166621709
1104	90-91	-0.1942511516697678
1104	92-93	-0.13543927086095664
1104	94-95	-0.25125685187308733
1104	96-97	-0.2252970041904021
1104	98-99	-0.004316648168305903
1104	100-101	-0.09327074039533301
1105	1	-0.3746658473533806
1105	2	-0.559970565973881
1105	3	-1.0434865810474463
1105	4	-0.9247986469481404
1105	5	-0.905444109903371
1105	6	-1.3170593427657806
1105	7	-1.2402099722069693
1105	8	-1.146396410549606
1105	9	-1.0231162977976922
1105	10-11	-1.0245461936496625
1105	12-13	-0.3562258659518065
1105	14-15	-0.27384371984963707
1105	16-17	-0.15426109514304898
1105	18-19	-0.10252394562812128
1105	20-21	-0.13626886277653227
1105	22-23	-0.13686540372626155
1105	24-25	-0.14367448147321227
1105	26-27	-0.16596067460184827
1105	28-29	-0.16254555004932314
1105	30-31	-0.12754144613510476
1105	32-33	-0.044653123957289154
1105	34-35	-0.09365875940529378
1105	36-37	-0.128290584600407
1105	38-39	-0.24682510974060534
1105	40-41	-0.27854397266087005
1105	42-43	-0.20303068776262734
1105	44-45	-0.19326625610278825
1105	46-47	-0.10309003076437051
1105	48-49	-0.052192834513036246
1105	50-51	-0.05694314662709843
1105	52-53	-0.18214846587375888
1105	54-55	0.059788755259155835
1105	56-57	-0.16801521407953146
1105	58-59	-0.12480958636464123
1105	60-61	-0.01755475984030852
1105	62-63	-0.14063526568394025
1105	64-65	-0.12891992534483165
1105	66-67	-0.10147842379162597
1105	68-69	-0.020478385744723937
1105	70-71	-0.1618350273118807
1105	72-73	-0.03300072931760667
1105	74-75	-0.09102349355300277
1105	76-77	-0.05231490051412635
1105	78-79	-0.04674125140321195
1105	80-81	-0.07706152419498835
1105	82-83	-0.09080772715874019
1105	84-85	-0.04110081261668341
1105	86-87	0.03151035369117494
1105	88-89	-0.21756281864507088
1105	90-91	-0.20433379743108304
1105	92-93	-0.16456870483818875
1105	94-95	-0.19041791026839405
1105	96-97	-0.2241150066540314
1105	98-99	-0.1672378866312627
1105	100-101	-0.24969956132405002
1106	1	-0.3090566499345826
1106	2	-0.48182530920286126
1106	3	-0.7398195389302629
1106	4	-0.7239026890663212
1106	5	-0.5562607187737214
1106	6	-0.8430345034247182
1106	7	-0.8528730041624684
1106	8	-0.865074439461786
1106	9	-0.7965166641973056
1106	10-11	-0.8166130724815943
1106	12-13	-0.4284546274744727
1106	14-15	-0.284428162556452
1106	16-17	-0.08680366133308581
1106	18-19	-0.11541952414713563
1106	20-21	-0.03042025458785247
1106	22-23	-0.0383364065744729
1106	24-25	-4.236950126426109E-4
1106	26-27	-0.07177863001035689
1106	28-29	-0.11610377016389606
1106	30-31	-0.1624761970516957
1106	32-33	-0.01526044923314629
1106	34-35	-0.11421909254722351
1106	36-37	-0.11917191157282758
1106	38-39	-0.21609872430315846
1106	40-41	-0.2406128378396417
1106	42-43	-0.11907181647466558
1106	44-45	-0.12842912270097173
1106	46-47	-0.08973419343166
1106	48-49	-0.01750619963844713
1106	50-51	0.03846232280627504
1106	52-53	-0.04959474164009947
1106	54-55	0.10384928882412225
1106	56-57	-0.010882760521063517
1106	58-59	-0.009315972047197363
1106	60-61	0.07705372663166798
1106	62-63	-0.06843916380302772
1106	64-65	-0.031246809091008743
1106	66-67	0.03583402950251724
1106	68-69	-0.05868643924707584
1106	70-71	-0.04601135232879727
1106	72-73	0.011644714980391768
1106	74-75	-0.003170494779780597
1106	76-77	-0.18428003623024836
1106	78-79	0.03006475033237166
1106	80-81	-0.049093547696323014
1106	82-83	-0.13427883140628438
1106	84-85	-3.486855092731389E-4
1106	86-87	-0.03986849260890324
1106	88-89	-0.11112303280904712
1106	90-91	-0.19869013507211974
1106	92-93	-0.16122635942656416
